t(s),P=100mmHg,P=110mmHg,P=120mmHg,130mmHg,140mmHg,150mmHg,160mmHg,170mmHg,180mmHg
0,14.71,14.71,13.78,13.694,12.522,12.437,12.687,12.039,11.873
0.1,14.71,14.802,13.891,13.755,12.588,12.499,12.768,12.108,11.948
0.2,14.71,14.88,13.99,13.804,12.644,12.552,12.838,12.166,12.013
0.3,14.71,14.946,14.078,13.843,12.691,12.596,12.898,12.216,12.068
0.4,14.71,15.001,14.155,13.872,12.729,12.632,12.948,12.258,12.116
0.5,14.71,15.044,14.223,13.891,12.76,12.66,12.99,12.293,12.157
0.6,14.71,15.078,14.281,13.902,12.784,12.682,13.025,12.321,12.192
0.7,14.71,15.102,14.33,13.905,12.802,12.698,13.053,12.344,12.221
0.8,14.71,15.116,14.371,13.901,12.815,12.709,13.074,12.362,12.246
0.9,14.71,15.123,14.405,13.892,12.822,12.715,13.091,12.376,12.266
1,14.71,15.122,14.431,13.877,12.825,12.717,13.102,12.386,12.282
1.1,14.71,15.114,14.452,13.857,12.824,12.715,13.109,12.393,12.295
1.2,14.71,15.101,14.466,13.833,12.82,12.71,13.113,12.397,12.305
1.3,14.71,15.082,14.475,13.805,12.813,12.702,13.113,12.398,12.313
1.4,14.71,15.058,14.48,13.774,12.803,12.692,13.11,12.397,12.318
1.5,14.71,15.03,14.48,13.74,12.791,12.68,13.105,12.394,12.321
1.6,14.71,14.999,14.477,13.704,12.776,12.666,13.097,12.389,12.323
1.7,14.71,14.964,14.471,13.666,12.761,12.65,13.088,12.383,12.324
1.8,14.71,14.927,14.462,13.626,12.743,12.633,13.077,12.376,12.323
1.9,14.71,14.889,14.45,13.586,12.725,12.615,13.065,12.368,12.321
2,14.71,14.848,14.437,13.544,12.706,12.597,13.052,12.359,12.318
2.1,14.71,14.807,14.422,13.502,12.686,12.577,13.038,12.349,12.314
2.2,14.71,14.765,14.406,13.459,12.665,12.557,13.022,12.338,12.31
2.3,14.71,14.723,14.389,13.417,12.644,12.537,13.007,12.327,12.305
2.4,14.71,14.68,14.372,13.374,12.623,12.516,12.991,12.316,12.3
2.5,14.71,14.638,14.354,13.331,12.602,12.495,12.974,12.304,12.294
2.6,14.71,14.597,14.336,13.289,12.58,12.474,12.957,12.292,12.288
2.7,14.71,14.556,14.318,13.247,12.559,12.453,12.94,12.28,12.282
2.8,14.71,14.516,14.3,13.205,12.538,12.432,12.923,12.267,12.275
2.9,14.71,14.477,14.282,13.165,12.517,12.411,12.906,12.255,12.269
3,14.71,14.44,14.265,13.125,12.496,12.391,12.889,12.242,12.262
3.1,14.71,14.404,14.248,13.085,12.476,12.37,12.872,12.23,12.255
3.2,14.71,14.369,14.233,13.047,12.456,12.35,12.855,12.217,12.248
3.3,14.71,14.336,14.217,13.01,12.437,12.33,12.838,12.205,12.241
3.4,14.71,14.305,14.203,12.973,12.418,12.311,12.822,12.192,12.234
3.5,14.71,14.275,14.189,12.938,12.4,12.292,12.805,12.18,12.227
3.6,14.71,14.246,14.177,12.904,12.382,12.273,12.789,12.168,12.22
3.7,14.71,14.22,14.165,12.871,12.365,12.255,12.773,12.156,12.213
3.8,14.71,14.195,14.154,12.839,12.348,12.237,12.758,12.144,12.206
3.9,14.71,14.171,14.144,12.808,12.332,12.219,12.742,12.132,12.199
4,14.71,14.15,14.135,12.778,12.317,12.202,12.727,12.12,12.192
4.1,14.71,14.13,14.127,12.749,12.303,12.186,12.712,12.109,12.185
4.2,14.71,14.111,14.12,12.722,12.289,12.17,12.698,12.097,12.179
4.3,14.71,14.093,14.114,12.695,12.276,12.154,12.683,12.086,12.172
4.4,14.71,14.077,14.108,12.67,12.263,12.139,12.669,12.075,12.165
4.5,14.71,14.061,14.103,12.645,12.251,12.125,12.655,12.064,12.159
4.6,14.71,14.046,14.099,12.622,12.24,12.111,12.641,12.053,12.152
4.7,14.71,14.032,14.095,12.6,12.229,12.097,12.627,12.043,12.146
4.8,14.71,14.019,14.092,12.578,12.219,12.084,12.614,12.032,12.139
4.9,14.71,14.005,14.089,12.558,12.209,12.071,12.6,12.022,12.133
5,14.71,13.992,14.087,12.539,12.2,12.058,12.587,12.012,12.126
5.1,14.71,13.98,14.085,12.52,12.192,12.046,12.573,12.002,12.12
5.2,14.71,13.967,14.084,12.502,12.184,12.035,12.56,11.992,12.114
5.3,14.71,13.954,14.083,12.486,12.177,12.023,12.546,11.982,12.107
5.4,14.71,13.941,14.082,12.47,12.17,12.012,12.533,11.973,12.101
5.5,14.71,13.929,14.081,12.455,12.163,12.002,12.519,11.963,12.094
5.6,14.71,13.916,14.08,12.44,12.157,11.992,12.505,11.954,12.088
5.7,14.71,13.902,14.08,12.427,12.152,11.982,12.492,11.945,12.082
5.8,14.71,13.889,14.079,12.414,12.147,11.972,12.478,11.936,12.075
5.9,14.71,13.876,14.079,12.402,12.142,11.963,12.463,11.927,12.069
6,14.71,13.862,14.078,12.391,12.138,11.955,12.449,11.918,12.063
6.1,14.71,13.848,14.078,12.38,12.134,11.946,12.435,11.909,12.056
6.2,14.71,13.834,14.077,12.37,12.131,11.938,12.42,11.901,12.05
6.3,14.71,13.82,14.077,12.361,12.128,11.93,12.406,11.892,12.044
6.4,14.71,13.806,14.076,12.352,12.125,11.923,12.391,11.884,12.037
6.5,14.71,13.792,14.075,12.343,12.123,11.915,12.376,11.876,12.031
6.6,14.71,13.777,14.074,12.336,12.121,11.908,12.361,11.868,12.025
6.7,14.71,13.763,14.073,12.328,12.12,11.902,12.346,11.86,12.018
6.8,14.71,13.749,14.072,12.322,12.118,11.896,12.331,11.852,12.012
6.9,14.71,13.735,14.071,12.315,12.118,11.89,12.316,11.844,12.006
7,14.71,13.721,14.069,12.31,12.117,11.884,12.301,11.836,11.999
7.1,14.71,13.707,14.067,12.304,12.117,11.878,12.285,11.829,11.993
7.2,14.71,13.694,14.065,12.299,12.118,11.873,12.27,11.821,11.987
7.3,14.71,13.681,14.063,12.295,12.118,11.868,12.255,11.814,11.981
7.4,14.71,13.668,14.061,12.29,12.119,11.864,12.24,11.807,11.974
7.5,14.71,13.655,14.059,12.287,12.121,11.859,12.225,11.8,11.968
7.6,14.71,13.643,14.056,12.283,12.122,11.855,12.209,11.793,11.962
7.7,14.71,13.631,14.053,12.28,12.125,11.851,12.194,11.786,11.956
7.8,14.71,13.619,14.05,12.277,12.127,11.848,12.179,11.78,11.95
7.9,14.71,13.608,14.047,12.274,12.13,11.844,12.164,11.773,11.944
8,14.71,13.597,14.044,12.272,12.133,11.841,12.15,11.767,11.938
8.1,14.71,13.586,14.04,12.27,12.137,11.839,12.135,11.76,11.932
8.2,14.71,13.577,14.036,12.268,12.141,11.836,12.12,11.754,11.926
8.3,14.71,13.567,14.032,12.266,12.145,11.834,12.106,11.748,11.92
8.4,14.71,13.558,14.028,12.265,12.15,11.832,12.092,11.742,11.914
8.5,14.71,13.55,14.023,12.264,12.155,11.83,12.077,11.736,11.908
8.6,14.71,13.542,14.019,12.263,12.16,11.829,12.063,11.73,11.903
8.7,14.71,13.534,14.014,12.262,12.166,11.827,12.05,11.725,11.897
8.8,14.71,13.527,14.009,12.262,12.172,11.826,12.036,11.719,11.891
8.9,14.71,13.52,14.003,12.261,12.179,11.826,12.023,11.714,11.885
9,14.71,13.514,13.998,12.261,12.186,11.825,12.009,11.708,11.88
9.1,14.71,13.509,13.992,12.261,12.194,11.825,11.996,11.703,11.874
9.2,14.71,13.503,13.985,12.261,12.201,11.825,11.984,11.698,11.869
9.3,14.71,13.499,13.979,12.262,12.21,11.826,11.971,11.693,11.863
9.4,14.71,13.494,13.972,12.262,12.218,11.826,11.959,11.688,11.858
9.5,14.71,13.491,13.965,12.263,12.227,11.827,11.946,11.683,11.853
9.6,14.71,13.487,13.957,12.264,12.236,11.828,11.934,11.679,11.847
