t(s),P=100mmHg,P=110mmHg,P=120mmHg,P=130mmHg,P=140mmHg,P =150mmHg,P = 160mmHg,P =170mmHg,P=180mmHg
0,30,36,32.343,36.042,28.356,30.653,36.519,32.304,33.101
0.1,30,36.901,33.394,36.692,28.956,31.277,37.46,33.042,33.942
0.2,30,37.689,34.357,37.223,29.472,31.809,38.287,33.686,34.684
0.3,30,38.365,35.23,37.641,29.911,32.257,39.005,34.24,35.335
0.4,30,38.929,36.013,37.952,30.276,32.625,39.619,34.711,35.901
0.5,30,39.384,36.704,38.164,30.571,32.919,40.137,35.107,36.389
0.6,30,39.734,37.308,38.284,30.803,33.147,40.566,35.435,36.807
0.7,30,39.984,37.825,38.321,30.977,33.314,40.913,35.701,37.161
0.8,30,40.141,38.261,38.282,31.097,33.426,41.185,35.911,37.458
0.9,30,40.212,38.619,38.175,31.169,33.489,41.391,36.072,37.704
1,30,40.203,38.904,38.009,31.199,33.508,41.535,36.189,37.904
1.1,30,40.122,39.122,37.791,31.191,33.49,41.627,36.267,38.064
1.2,30,39.977,39.278,37.528,31.149,33.437,41.67,36.312,38.189
1.3,30,39.775,39.378,37.226,31.078,33.356,41.672,36.326,38.283
1.4,30,39.524,39.428,36.892,30.982,33.249,41.637,36.314,38.35
1.5,30,39.232,39.432,36.532,30.864,33.121,41.57,36.28,38.393
1.6,30,38.905,39.398,36.15,30.728,32.974,41.476,36.227,38.415
1.7,30,38.549,39.329,35.752,30.576,32.812,41.359,36.157,38.42
1.8,30,38.171,39.231,35.341,30.411,32.638,41.222,36.073,38.409
1.9,30,37.776,39.108,34.921,30.237,32.453,41.068,35.977,38.385
2,30,37.369,38.965,34.495,30.054,32.261,40.901,35.871,38.349
2.1,30,36.955,38.806,34.067,29.865,32.062,40.722,35.756,38.304
2.2,30,36.538,38.634,33.639,29.672,31.858,40.534,35.634,38.251
2.3,30,36.121,38.453,33.213,29.476,31.651,40.339,35.507,38.191
2.4,30,35.707,38.266,32.79,29.278,31.442,40.139,35.375,38.125
2.5,30,35.3,38.075,32.374,29.081,31.233,39.935,35.24,38.055
2.6,30,34.901,37.883,31.964,28.884,31.023,39.728,35.102,37.98
2.7,30,34.513,37.692,31.562,28.688,30.815,39.52,34.963,37.903
2.8,30,34.137,37.503,31.17,28.495,30.608,39.312,34.822,37.823
2.9,30,33.774,37.319,30.787,28.306,30.403,39.104,34.68,37.74
3,30,33.425,37.14,30.415,28.12,30.201,38.897,34.538,37.657
3.1,30,33.092,36.968,30.053,27.938,30.003,38.691,34.396,37.572
3.2,30,32.775,36.803,29.703,27.76,29.808,38.488,34.255,37.487
3.3,30,32.474,36.646,29.365,27.588,29.617,38.288,34.115,37.401
3.4,30,32.189,36.498,29.038,27.421,29.43,38.091,33.976,37.315
3.5,30,31.92,36.359,28.724,27.26,29.248,37.896,33.839,37.229
3.6,30,31.668,36.23,28.421,27.104,29.07,37.705,33.703,37.144
3.7,30,31.432,36.11,28.13,26.955,28.897,37.518,33.569,37.059
3.8,30,31.212,36,27.851,26.811,28.729,37.335,33.437,36.974
3.9,30,31.007,35.9,27.583,26.674,28.566,37.155,33.306,36.89
4,30,30.818,35.809,27.327,26.542,28.408,36.979,33.178,36.807
4.1,30,30.642,35.727,27.083,26.417,28.255,36.807,33.052,36.725
4.2,30,30.48,35.654,26.849,26.298,28.107,36.638,32.928,36.644
4.3,30,30.328,35.59,26.626,26.185,27.964,36.472,32.807,36.564
4.4,30,30.187,35.533,26.413,26.078,27.825,36.309,32.687,36.484
4.5,30,30.054,35.483,26.21,25.977,27.692,36.149,32.569,36.405
4.6,30,29.928,35.44,26.017,25.881,27.562,35.992,32.454,36.326
4.7,30,29.807,35.403,25.833,25.791,27.438,35.836,32.34,36.248
4.8,30,29.692,35.372,25.659,25.705,27.317,35.682,32.228,36.171
4.9,30,29.58,35.346,25.493,25.625,27.201,35.529,32.119,36.094
5,30,29.47,35.323,25.336,25.55,27.089,35.377,32.01,36.018
5.1,30,29.362,35.305,25.187,25.479,26.981,35.226,31.904,35.942
5.2,30,29.256,35.29,25.045,25.413,26.877,35.075,31.799,35.866
5.3,30,29.149,35.278,24.911,25.352,26.776,34.924,31.696,35.79
5.4,30,29.043,35.268,24.785,25.294,26.679,34.773,31.595,35.715
5.5,30,28.936,35.26,24.665,25.241,26.586,34.622,31.495,35.64
5.6,30,28.828,35.254,24.552,25.191,26.496,34.47,31.397,35.565
5.7,30,28.719,35.248,24.446,25.146,26.409,34.317,31.301,35.49
5.8,30,28.609,35.243,24.346,25.104,26.326,34.164,31.206,35.416
5.9,30,28.498,35.238,24.251,25.066,26.246,34.01,31.112,35.341
6,30,28.385,35.234,24.163,25.031,26.169,33.855,31.02,35.267
6.1,30,28.272,35.229,24.079,25,26.095,33.699,30.93,35.193
6.2,30,28.158,35.224,24.001,24.972,26.024,33.542,30.84,35.119
6.3,30,28.044,35.218,23.928,24.947,25.956,33.385,30.753,35.045
6.4,30,27.929,35.211,23.859,24.926,25.891,33.226,30.667,34.971
6.5,30,27.815,35.202,23.795,24.907,25.828,33.067,30.582,34.897
6.6,30,27.7,35.193,23.736,24.892,25.768,32.908,30.498,34.824
6.7,30,27.586,35.182,23.68,24.88,25.711,32.748,30.416,34.751
6.8,30,27.473,35.17,23.628,24.871,25.657,32.588,30.336,34.678
6.9,30,27.361,35.156,23.58,24.864,25.605,32.428,30.257,34.605
7,30,27.25,35.141,23.535,24.861,25.555,32.268,30.179,34.533
7.1,30,27.141,35.124,23.494,24.861,25.508,32.108,30.102,34.461
7.2,30,27.034,35.105,23.456,24.864,25.464,31.949,30.027,34.389
7.3,30,26.93,35.084,23.421,24.869,25.422,31.791,29.954,34.318
7.4,30,26.827,35.062,23.389,24.878,25.382,31.633,29.881,34.247
7.5,30,26.728,35.037,23.359,24.889,25.344,31.476,29.81,34.176
7.6,30,26.631,35.011,23.333,24.904,25.309,31.32,29.74,34.106
7.7,30,26.537,34.983,23.308,24.921,25.277,31.166,29.672,34.037
7.8,30,26.447,34.953,23.286,24.941,25.246,31.012,29.605,33.967
7.9,30,26.36,34.921,23.266,24.965,25.218,30.861,29.539,33.898
8,30,26.276,34.887,23.248,24.991,25.192,30.71,29.474,33.83
8.1,30,26.196,34.851,23.233,25.021,25.168,30.562,29.411,33.762
8.2,30,26.12,34.813,23.219,25.054,25.147,30.416,29.349,33.695
8.3,30,26.047,34.774,23.207,25.09,25.128,30.271,29.288,33.628
8.4,30,25.978,34.732,23.197,25.129,25.111,30.128,29.228,33.562
8.5,30,25.913,34.688,23.188,25.171,25.096,29.988,29.17,33.496
8.6,30,25.851,34.641,23.181,25.216,25.083,29.849,29.113,33.431
8.7,30,25.794,34.593,23.176,25.265,25.073,29.713,29.056,33.367
8.8,30,25.74,34.542,23.172,25.317,25.065,29.579,29.002,33.303
8.9,30,25.69,34.488,23.169,25.372,25.059,29.448,28.948,33.24
9,30,25.643,34.433,23.168,25.431,25.056,29.318,28.895,33.177
9.1,30,25.6,34.374,23.168,25.493,25.054,29.191,28.844,33.115
